Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
266,9.93,2020-09-12 02:00:00,9.376862,1008.8844,10.498172,-7.1760087
267,8.94,2020-09-12 03:00:00,9.084534,1009.11835,11.970851,-3.3749554
268,9.01,2020-09-12 04:00:00,8.915314,1009.2239,10.238667,-2.428189
269,9.66,2020-09-12 05:00:00,8.393707,1009.0884,11.021227,-1.1446639
270,9.78,2020-09-12 06:00:00,7.95166,1009.0662,9.398461,-1.4940631
271,8.19,2020-09-12 07:00:00,7.576721,1009.34033,11.245202,-2.9396605
272,9.11,2020-09-12 08:00:00,7.057831,1009.5433,7.762193,-2.7934363
273,9.16,2020-09-12 09:00:00,7.0828857,1009.8156,7.9387293,-0.8536357
274,8.72,2020-09-12 10:00:00,7.355438,1010.16034,9.786347,-0.38860357
275,7.79,2020-09-12 11:00:00,6.7142944,1010.40955,6.716411,-2.8879144
276,8.12,2020-09-12 12:00:00,7.1644287,1010.6724,8.726774,-0.45638686
277,9.48,2020-09-12 13:00:00,6.994446,1011.3452,9.82389,3.0972667
278,8.72,2020-09-12 14:00:00,7.689087,1011.50775,10.101265,-3.837285
279,8.24,2020-09-12 15:00:00,8.099518,1012.0254,9.769441,3.1097095
280,8.84,2020-09-12 16:00:00,7.219513,1012.1381,11.191413,2.6653504
281,8.94,2020-09-12 17:00:00,8.61853,1012.82733,9.533318,-0.8895828
282,8.27,2020-09-12 18:00:00,8.595306,1013.17896,9.609084,-0.9193485
283,7.82,2020-09-12 19:00:00,8.435791,1014.03326,9.763037,-2.0654364
284,9.09,2020-09-12 20:00:00,7.3147583,1014.3669,10.147604,-1.6695086
285,9.73,2020-09-12 21:00:00,7.6698303,1015.1293,10.458218,-0.17889117
286,9.14,2020-09-12 22:00:00,7.28891,1015.4946,8.3842,-1.1776245
287,9.58,2020-09-12 23:00:00,7.0489807,1016.17725,9.906006,-0.5659309
288,8.59,2020-09-13 00:00:00,7.1029663,1016.6163,10.4158945,0.099792115
289,8.19,2020-09-13 01:00:00,7.9403076,1015.48755,10.789024,1.0983584
290,8.92,2020-09-13 02:00:00,7.7933044,1016.8714,9.571197,2.0316777
291,8.42,2020-09-13 03:00:00,7.717621,1017.7394,8.947533,2.42265
292,8.64,2020-09-13 04:00:00,6.9193726,1018.03937,9.277367,-0.49987924
293,8.54,2020-09-13 05:00:00,7.2490845,1018.2629,9.157066,1.0779154
294,8.84,2020-09-13 06:00:00,7.179077,1019.7118,7.162045,1.9975635
295,8.64,2020-09-13 07:00:00,7.089386,1020.5803,6.5465593,3.475289
296,8.17,2020-09-13 08:00:00,7.03598,1021.1266,7.498078,2.5397327
297,8.37,2020-09-13 09:00:00,6.62381,1021.4645,6.931476,2.3019931
298,8.79,2020-09-13 10:00:00,6.5559387,1023.00446,4.251183,3.1479042
299,8.82,2020-09-13 11:00:00,6.7480774,1024.1566,4.0203767,2.4248586
300,8.94,2020-09-13 12:00:00,6.6756897,1025.0264,4.4426436,2.5164726
301,8.57,2020-09-13 13:00:00,7.720337,1025.3671,4.2785287,1.8341078
302,9.24,2020-09-13 14:00:00,8.52655,1025.7911,4.5430098,2.4296405
303,9.71,2020-09-13 15:00:00,8.957672,1026.1392,3.900776,0.36950055
304,10.44,2020-09-13 16:00:00,9.104553,1026.4385,4.7552195,-0.7797432
305,10.39,2020-09-13 17:00:00,9.218872,1026.7701,4.624123,-0.83737046
306,10.49,2020-09-13 18:00:00,9.298462,1027.4884,4.8482676,-0.42150998
307,10.79,2020-09-13 19:00:00,9.205414,1027.9927,4.682052,-1.2412153
308,10.66,2020-09-13 20:00:00,9.103516,1028.3955,4.6787705,-1.6400983
309,10.25,2020-09-13 21:00:00,8.422211,1028.4528,3.3414388,-2.061539
310,9.76,2020-09-13 22:00:00,7.8605957,1028.8821,1.8673221,-2.9030247
311,9.53,2020-09-13 23:00:00,7.362335,1029.2576,1.2493218,-3.3758423
312,8.44,2020-09-14 00:00:00,7.2633057,1029.7566,0.75537527,-4.1302648
313,8.02,2020-09-14 01:00:00,4.709076,1029.3704,-1.9245751,-3.2786329
314,8.02,2020-09-14 02:00:00,5.261688,1028.6494,-0.96936554,-4.1358223
315,7.37,2020-09-14 03:00:00,5.3983154,1028.3821,-1.1743035,-4.2647076
316,7.04,2020-09-14 04:00:00,5.7009277,1027703,-0.8475406,-4.5991225
317,6.51,2020-09-14 05:00:00,5.936249,1027.5992,-0.20289686,-4.5180464
318,7.14,2020-09-14 06:00:00,6.211853,1027.1078,0.27727634,-4.5917487
319,8.12,2020-09-14 07:00:00,6.4375,1026.2808,0.37414134,-4.9378676
320,8.37,2020-09-14 08:00:00,6.5662537,1025446,0.57731473,-4.759209
321,8.44,2020-09-14 09:00:00,6.735443,1025.0448,0.44095978,-5.1844325
