Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-09 13:00:00,8.49,8.204193,1.6,0.00076293945,1011.5583,-1.2101564,-5.0355825
2018-08-09 14:00:00,8.59,8.120972,0.399999999999999,0.03050232,1011.65686,-0.3717082,-4.712934
2018-08-09 15:00:00,8.79,7.9048767,0.199999999999999,0.8340149,1011.92944,0.7113484,-3.7921996
2018-08-09 16:00:00,9.21,8.005554,0,1.2819214,1012.0796,0.3924519,-3.340055
2018-08-09 17:00:00,9.24,8.277466,0.199999999999999,0.98872375,1012.1372,-0.2898428,-2.9866886
2018-08-09 18:00:00,9.88,8.576141,0,0.21020508,1012.1957,-0.6709214,-3.3205793
2018-08-09 19:00:00,9.44,8.53421,0.199999999999999,0.18682861,1012.1106,-0.44880283,-3.5445411
2018-08-09 20:00:00,9.16,8.68277,0,0.0131073,1012.1584,-0.29954624,-2.826726
2018-08-09 21:00:00,8.42,8.6579895,0,0.0016174316,1012.43866,0.0009970475,-2.3697162
2018-08-09 22:00:00,8.49,8.615631,0,6.1035156e-05,1012.66016,-0.16423759,-1.6903833
2018-08-09 23:00:00,8.84,8.585266,0,0,1012.8685,0.4857014,-1.16332
2018-08-10 00:00:00,8.94,8.559906,0,0,1013.0719,1.2971966,-0.84963316
2018-08-10 01:00:00,8.79,8.247833,0,7.6293945e-05,1012.7943,0.41045254,-1.1925478
2018-08-10 02:00:00,8.77,7.992401,0,0.0034637451,1013.0427,-0.14412199,-0.9733903
2018-08-10 03:00:00,8.64,7.997772,0,0.014923096,1013.07477,0.12454902,-0.7187573
2018-08-10 04:00:00,8.77,7.835022,0,0.00340271,1013.688,1.5183264,-1.1809884
2018-08-10 05:00:00,8.97,7.442047,0,0,1013.7939,0.92388064,-0.18333872
2018-08-10 06:00:00,8.79,7.494049,0,0,1014.19635,-0.1266938,-0.9555962
2018-08-10 07:00:00,8.94,7.136261,0,0,1014.8108,0.9178811,-1.4759411
2018-08-10 08:00:00,8.82,6.988739,1.2,0,1015.3655,1.5451657,-1.0697141
2018-08-10 09:00:00,8.42,6.9127502,0,0,1015.4295,1.7159199,-0.39535448
2018-08-10 10:00:00,8.22,6.955536,0,0.0037231445,1015.67523,1.6947416,-0.2900624
2018-08-10 11:00:00,8.07,6.966522,0,0.0012207031,1015.87585,1.1877851,-0.3174362
2018-08-10 12:00:00,8.34,5.5743103,0,0,1015.91205,1.2489913,-0.32544068
2018-08-10 13:00:00,8.84,5.849945,0,0,1016.09344,0.8287421,-0.5557172
2018-08-10 14:00:00,9.01,7.5533752,0,0,1016.1889,-0.43010476,-1.0733275
2018-08-10 15:00:00,10.81,8.743652,0,0,1016.1101,-0.19734915,-3.4004521
2018-08-10 16:00:00,10.93,9.143585,0,0,1015.935,-1.7375147,-3.1297934
2018-08-10 17:00:00,10.96,9.368164,0,0,1015.5709,-1.2521778,-3.9988523
2018-08-10 18:00:00,9.85,9.350525,0,0,1015.2975,-1.4905499,-4.1155286
2018-08-10 19:00:00,11.18,9.316467,0,0,1014.991,-1.7193601,-3.4838343
2018-08-10 20:00:00,11.13,9.077667,0,0,1014.70667,-1.6770568,-3.2959902
2018-08-10 21:00:00,11.18,8.480347,0,0,1014.53284,-1.8477587,-2.712074
2018-08-10 22:00:00,8.12,7.456726,0,0,1014.3822,-1.9996483,-1.5991471
2018-08-10 23:00:00,7.52,7.251892,0,0,1014.201,-2.662909,-1.9078391
2018-08-11 00:00:00,7.22,7.271881,0,0,1013.98096,-3.0201545,-1.9254793
2018-08-11 01:00:00,7.22,7.340973,0,0,1014.3635,-2.9695458,-2.4432077
2018-08-11 02:00:00,7.12,7.288727,0,0,1011.9975,-3.5372233,-1.9962262
2018-08-11 03:00:00,7.12,7.3292847,0,0,1012.4707,-3.8719947,-2.5297544
2018-08-11 04:00:00,6.71,6.865326,0,0,1012.0753,-4.1229234,-2.619086
2018-08-11 05:00:00,6.53,6.569153,0,0,1011.4355,-3.3934467,-2.4928796
2018-08-11 06:00:00,6.43,6.314789,0,0,1011.02765,-2.739552,-2.3548458
2018-08-11 07:00:00,6.48,5.7949524,0,0,1010.12744,-1.2450362,-2.1555867
2018-08-11 08:00:00,5.8,4.8213196,0,0,1009.6216,-0.28270352,-1.9655396
2018-08-11 09:00:00,6,5.211609,0,0,1009.26636,-0.8055571,-2.860461
2018-08-11 10:00:00,6.08,5.553192,0,0,1008.9688,-1.9294736,-3.0828953
2018-08-11 11:00:00,6.69,5.6443787,0,0,1008.77454,-2.1634252,-3.9311202
2018-08-11 12:00:00,7.92,6.1822205,0,0,1008.6523,-2.122703,-4.2382383
2018-08-11 13:00:00,8.67,6.6121216,0,0,1008.8856,-1.6451051,-4.518328
2018-08-11 14:00:00,9.11,7.77594,0,0,1008.9465,-0.72714084,-5.041817
2018-08-11 15:00:00,8.82,7.760254,0,0.014205933,1009.03064,-0.42679068,-4.869609
2018-08-11 16:00:00,9.14,8.210968,0,0.045318604,1008.7279,-1.7386848,-5.689709
